,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
0,CN,思泰克,SZ301568,43.9,0.72,1.67,88.98,2902785.0,125634805.81,11.85,43.471,,4533043760.0
1,CN,中集环科,SZ301559,18.42,0.16,0.88,-20.81,1785485.0,32753467.06,2.11,17.396,4.533,11052000000.0
2,CN,三态股份,SZ301558,14.44,-0.08,-0.55,97.0,16778475.0,238134707.63,15.08,80.071,,11391011660.0
3,CN,惠柏新材,SZ301555,41.49,0.66,1.62,81.34,3805005.0,154051926.84,17.39,56.171,0.451,3828145383.0
4,CN,斯菱股份,SZ301550,45.76,0.46,1.02,21.83,954539.0,43349784.03,3.66,36.873,,5033600000.0
5,CN,崇德科技,SZ301548,59.21,1.63,2.83,-11.36,443338.0,26111749.46,3.12,31.986,,3552600000.0
6,CN,威马农机,SZ301533,33.32,-0.11,-0.33,12.95,1641594.0,54269387.34,7.59,40.054,,3275579244.0
7,CN,福赛科技,SZ301529,38.74,0.7,1.84,5.85,845104.0,32508625.64,4.4,39.424,,3286593515.0
8,CN,多浦乐,SZ301528,70.69,0.5,0.71,-1.55,411759.0,28923064.57,2.92,51.917,,4375711000.0
9,CN,C国际复材,SZ301526,5.46,-1.16,-17.52,105.26,265089992.0,1513390161.95,48.55,34.131,,20588994142.0
10,CN,儒竞科技,SZ301525,82.66,0.99,1.21,-16.98,547009.0,45125534.98,2.44,31.379,,7795810743.0
11,CN,万邦医药,SZ301520,52.24,0.96,1.87,-23.04,542019.0,28073051.45,3.43,32.512,,3482666684.0
12,CN,舜禹股份,SZ301519,20.25,-0.7,-3.34,-3.25,3660004.0,74257397.73,9.38,32.959,,3324240000.0
13,CN,长华化学,SZ301518,22.56,0.21,0.94,-12.39,697887.0,15672572.8,2.1,31.393,,3162420282.0
14,CN,陕西华达,SZ301517,54.79,2.19,4.16,103.91,2123125.0,114500010.25,10.02,78.684,,5918782893.0
15,CN,中远通,SZ301516,20.42,1.34,7.02,197.23,20339760.0,410484677.85,32.87,73.56,,5731929837.0
16,CN,港通医疗,SZ301515,27.7,0.19,0.69,-11.1,517600.0,14326402.0,2.18,32.848,,2770000000.0
17,CN,智信精密,SZ301512,67.1,-1.26,-1.84,69.19,2620818.0,175810799.04,19.66,40.246,,3578671140.0
18,CN,德福科技,SZ301511,22.41,0.31,1.4,-19.96,1745336.0,38956038.81,3.0,50.563,,10089654300.0
19,CN,固高科技,SZ301510,34.53,0.29,0.85,187.75,1285161.0,44182348.15,3.73,335.582,,13812345300.0
20,CN,金凯生科,SZ301509,61.38,0.21,0.34,8.52,619414.0,37962698.67,3.04,34.623,,5280726102.0
21,CN,中机认检,SZ301508,33.34,0.37,1.12,98.22,7078098.0,234662232.81,16.48,57.42,,7537680568.0
22,CN,民生健康,SZ301507,16.02,0.12,0.75,60.2,2224981.0,35387537.99,2.63,66.565,,5712000367.0
23,CN,苏州规划,SZ301505,34.6,-0.3,-0.86,32.53,996440.0,34296192.2,5.05,38.807,1.156,3044800000.0
24,CN,智迪科技,SZ301503,32.85,1.07,3.37,3.99,1123538.0,36587404.76,5.62,38.721,,2628000000.0
25,CN,飞南资源,SZ301500,20.37,0.23,1.14,-15.02,906252.0,18404282.03,2.41,46.157,,8148203700.0
26,CN,维科精密,SZ301499,28.48,0.16,0.56,46.05,1312776.0,37177422.12,4.0,66.199,,3937498584.0
27,CN,乖宝宠物,SZ301498,39.12,0.82,2.14,-2.18,861485.0,33354550.16,2.29,42.945,,15649740840.0
28,CN,思泉新材,SZ301489,71.21,-0.18,-0.25,70.93,1399993.0,97795529.32,10.24,65.44,,4107487794.0
29,CN,豪恩汽电,SZ301488,67.31,-0.12,-0.18,70.42,633176.0,42576564.7,3.18,58.768,0.743,6192520000.0
30,CN,盟固利,SZ301487,41.08,-1.48,-3.48,672.18,4531871.0,187404924.53,8.32,287.499,,18881043273.0
31,CN,致尚科技,SZ301486,45.77,1.57,3.55,-20.62,2804388.0,127291181.2,9.19,75.057,,5889729141.0
